CustomerID,actual_churn,predicted_churn,churn_probability,prediction_correct
54618,1,1,0.9603883568980257,True
54288,1,1,0.9546850719611119,True
50339,1,1,0.9469897635283098,True
51215,1,1,0.9399348006453359,True
50936,1,1,0.9351396038933355,True
53751,1,1,0.9348699388725439,True
54023,1,1,0.9271301921265285,True
51012,1,1,0.9244371032247279,True
52094,1,1,0.9209988577700635,True
52077,1,1,0.9184754198770156,True
50329,1,1,0.9169252114854963,True
51517,1,1,0.9169086883903446,True
50607,1,1,0.913683581266219,True
50808,1,1,0.9108938573683462,True
50944,1,1,0.9058261316878355,True
54870,1,1,0.9057225973814323,True
52343,1,1,0.9050010850523253,True
50199,1,1,0.9010121325550413,True
55434,1,1,0.8997225497266197,True
51803,1,1,0.8962706012150828,True
51510,0,1,0.8928804481395963,False
52582,1,1,0.891771463676714,True
55314,1,1,0.890830001003795,True
51038,1,1,0.8879835310184947,True
50933,1,1,0.8852949979194981,True
51312,0,1,0.8852852232039262,False
50014,1,1,0.8812563925169705,True
53009,0,1,0.8790911763698438,False
55229,1,1,0.8785166564992849,True
54263,1,1,0.8780694906577206,True
54127,0,1,0.8751629635558057,False
50438,1,1,0.8749111891818074,True
52920,1,1,0.874132953679137,True
54601,1,1,0.868866841054979,True
50013,1,1,0.8680684974526995,True
53727,1,1,0.8660724704315047,True
50569,1,1,0.8657213965941246,True
54990,1,1,0.8656343673200684,True
51516,0,1,0.8640770916260032,False
51348,1,1,0.8632362006545109,True
52353,1,1,0.8629585824619872,True
52721,1,1,0.8606874274832073,True
50355,1,1,0.8596079443768666,True
55347,1,1,0.8585294509674067,True
51457,1,1,0.8584231470248832,True
55362,1,1,0.8583759583484876,True
55271,1,1,0.8583465134827452,True
54923,1,1,0.8581344622599874,True
54454,1,1,0.8569027514848614,True
52483,0,1,0.8548971258122884,False
54806,1,1,0.8548687079550209,True
54750,1,1,0.8547145208588585,True
50718,1,1,0.8533199451962571,True
52423,1,1,0.8522878995447395,True
52788,1,1,0.8513488510025776,True
53580,0,1,0.8491769453373421,False
51473,1,1,0.846665585029204,True
51318,1,1,0.8433976283122244,True
51133,1,1,0.8416852159937999,True
53305,1,1,0.8416243635681824,True
51157,1,1,0.8406689023604292,True
54040,0,1,0.8398767999154476,False
52617,1,1,0.8376406662194974,True
54497,1,1,0.8372407072398089,True
52513,1,1,0.8371452327048476,True
52126,1,1,0.8369415006332832,True
53196,0,1,0.8368143751795795,False
53749,1,1,0.8355148211522204,True
53069,1,1,0.8348963258223354,True
54817,1,1,0.8332769831221011,True
51043,1,1,0.8329715331671835,True
55173,1,1,0.8328612779337883,True
54104,0,1,0.8296938036978141,False
54293,1,1,0.8277324825477413,True
53487,1,1,0.8268686746789539,True
51585,1,1,0.8267868214630405,True
53126,1,1,0.8238990839000091,True
54400,1,1,0.8231557747933945,True
53707,1,1,0.8176856632987187,True
55177,1,1,0.8176856632987187,True
54957,1,1,0.8158632988787591,True
54775,1,1,0.8155223708114463,True
50258,1,1,0.8080669205647214,True
51728,1,1,0.8080669205647214,True
53384,1,1,0.8067916707429648,True
52199,0,1,0.806453226035445,False
55398,1,1,0.8053393759166435,True
50861,1,1,0.8050283118505933,True
55540,1,1,0.8041928189268366,True
51363,0,1,0.8037871784622125,False
53671,1,1,0.7989793689450783,True
53698,1,1,0.7974088327229876,True
53697,1,1,0.7964562283191099,True
50474,1,1,0.794337307243207,True
50381,0,1,0.7912443618195816,False
50768,1,1,0.7899874565456415,True
53859,0,1,0.7894422214202805,False
50297,1,1,0.7893001092321827,True
54182,1,1,0.7883408653822547,True
52950,1,1,0.7829921449324736,True
52187,0,1,0.7808164125492829,False
55107,1,1,0.7787070363172214,True
54425,1,1,0.7783033061912508,True
55222,0,1,0.7772457217794,False
53676,1,1,0.7743797132748871,True
52741,1,1,0.7726291882907219,True
50140,1,1,0.7709050415829825,True
52992,0,1,0.7691527715267941,False
53276,1,1,0.765138869059995,True
50298,1,1,0.7624596924515995,True
54215,0,1,0.7607466251956587,False
55182,1,1,0.7575886781215405,True
50332,0,1,0.757369234127904,False
54893,1,1,0.7535654853901659,True
51932,0,1,0.752923332325279,False
51768,1,1,0.7519947945129286,True
52098,1,1,0.7491101112980568,True
53532,0,1,0.7488717356321584,False
50416,1,1,0.7485718577013771,True
54203,1,1,0.7483824682683488,True
53165,0,1,0.748298789516896,False
54746,1,1,0.7473491667871117,True
53397,1,1,0.7457260295017715,True
50261,1,1,0.7456870179308339,True
51389,0,1,0.7450337981492788,False
53277,0,1,0.7444528443945735,False
51550,1,1,0.7433366087106649,True
50461,1,1,0.7427507918905524,True
53112,1,1,0.7398311536419651,True
55217,1,1,0.7395218808905283,True
52456,1,1,0.7390321554687607,True
50196,0,1,0.7364875081329164,False
52123,1,1,0.7350559190329767,True
54953,1,1,0.7335766432855196,True
55625,0,1,0.7323282397889589,False
51964,0,1,0.7317258954582067,False
50032,0,1,0.7302990387095258,False
53600,0,1,0.7292557378228292,False
55499,1,1,0.7264117289164288,True
52052,1,1,0.7243023296807506,True
50582,1,1,0.7243023296807506,True
50510,0,1,0.7216815319858536,False
51743,0,1,0.7199770305320955,False
53527,1,1,0.7196791718188008,True
54637,0,1,0.7164662589480782,False
54913,1,1,0.7123266597042014,True
54759,1,1,0.7107441369700622,True
55451,1,1,0.7091737077935023,True
50080,1,1,0.7086296068908914,True
51552,0,1,0.7059094169923601,False
51214,1,1,0.7052473535249406,True
52009,1,1,0.7033694362813384,True
